case_id,explanation
HELOC_XAI_001,"Average Duration Of Resolution <= 57.00 increased the local at-risk prediction; while Net Fraction Of Revolving Burden > 56.00 increased the local at-risk prediction. These are local model associations, not causal effects."
HELOC_XAI_002,"Net Fraction Of Revolving Burden > 56.00 increased the local at-risk prediction; while 97.00 < Percentage Of Legal Trades <= 100.00 reduced the local at-risk prediction. These are local model associations, not causal effects."
HELOC_XAI_003,"Percentage Of Legal Trades <= 89.00 increased the local at-risk prediction; while Net Fraction Of Revolving Burden > 56.00 increased the local at-risk prediction. These are local model associations, not causal effects."
HELOC_XAI_004,"Average Duration Of Resolution <= 57.00 increased the local at-risk prediction; while Net Fraction Of Revolving Burden > 56.00 increased the local at-risk prediction. These are local model associations, not causal effects."
HELOC_XAI_005,"Net Fraction Of Revolving Burden > 56.00 increased the local at-risk prediction; while Average Duration Of Resolution <= 57.00 increased the local at-risk prediction. These are local model associations, not causal effects."
HELOC_XAI_006,"Net Fraction Of Revolving Burden > 56.00 increased the local at-risk prediction; while 97.00 < Percentage Of Legal Trades <= 100.00 reduced the local at-risk prediction. These are local model associations, not causal effects."
HELOC_XAI_007,"97.00 < Percentage Of Legal Trades <= 100.00 reduced the local at-risk prediction; while Average Duration Of Resolution <= 57.00 increased the local at-risk prediction. These are local model associations, not causal effects."
HELOC_XAI_008,"Net Fraction Of Revolving Burden > 56.00 increased the local at-risk prediction; while 97.00 < Percentage Of Legal Trades <= 100.00 reduced the local at-risk prediction. These are local model associations, not causal effects."
HELOC_XAI_009,"Net Fraction Of Revolving Burden <= 8.00 reduced the local at-risk prediction; while Months Since Last Inquiry Not Recent <= 0.00 increased the local at-risk prediction. These are local model associations, not causal effects."
HELOC_XAI_010,"Average Duration Of Resolution <= 57.00 increased the local at-risk prediction; while 97.00 < Percentage Of Legal Trades <= 100.00 reduced the local at-risk prediction. These are local model associations, not causal effects."
HELOC_XAI_011,"Months Since Last Inquiry Not Recent: special code -8 increased the local at-risk prediction; while Net Fraction Of Revolving Burden <= 8.00 reduced the local at-risk prediction. These are local model associations, not causal effects."
HELOC_XAI_012,"97.00 < Percentage Of Legal Trades <= 100.00 reduced the local at-risk prediction; while Net Fraction Of Revolving Burden <= 8.00 reduced the local at-risk prediction. These are local model associations, not causal effects."
HELOC_XAI_013,"97.00 < Percentage Of Legal Trades <= 100.00 reduced the local at-risk prediction; while Months Since Last Inquiry Not Recent: special code -8 increased the local at-risk prediction. These are local model associations, not causal effects."
HELOC_XAI_014,"97.00 < Percentage Of Legal Trades <= 100.00 reduced the local at-risk prediction; while Net Fraction Of Revolving Burden <= 8.00 reduced the local at-risk prediction. These are local model associations, not causal effects."
HELOC_XAI_015,"97.00 < Percentage Of Legal Trades <= 100.00 reduced the local at-risk prediction; while Months Since Last Inquiry Not Recent > 1.00 reduced the local at-risk prediction. These are local model associations, not causal effects."
HELOC_XAI_016,"97.00 < Percentage Of Legal Trades <= 100.00 reduced the local at-risk prediction; while Average Duration Of Resolution > 97.00 reduced the local at-risk prediction. These are local model associations, not causal effects."
HELOC_XAI_017,"97.00 < Percentage Of Legal Trades <= 100.00 reduced the local at-risk prediction; while 6.00 < Maximum Illegal Trades Over Last Year <= 7.00 reduced the local at-risk prediction. These are local model associations, not causal effects."
HELOC_XAI_018,"Percentage Of Legal Trades <= 89.00 increased the local at-risk prediction; while Net Fraction Of Revolving Burden <= 8.00 reduced the local at-risk prediction. These are local model associations, not causal effects."
HELOC_XAI_019,"Percentage Of Legal Trades <= 89.00 increased the local at-risk prediction; while Net Fraction Of Revolving Burden <= 8.00 reduced the local at-risk prediction. These are local model associations, not causal effects."
HELOC_XAI_020,"Months Since Last Inquiry Not Recent <= 0.00 increased the local at-risk prediction; while 76.00 < Average Duration Of Resolution <= 97.00 reduced the local at-risk prediction. These are local model associations, not causal effects."
