case_id,predicted_class,predicted_probability,explanation
GER_XAI_001,1,0.9466822,"Checking account status (< 0 DM) increased the model's higher-risk output; while Credit duration (months) (48) increased the model's higher-risk output. These are model associations, not causal effects."
GER_XAI_002,1,0.9256946,"Checking account status (< 0 DM) increased the model's higher-risk output; while Credit amount (DM) (11816) increased the model's higher-risk output. These are model associations, not causal effects."
GER_XAI_003,1,0.90678245,"Checking account status (< 0 DM) increased the model's higher-risk output; while Credit duration (months) (45) increased the model's higher-risk output. These are model associations, not causal effects."
GER_XAI_004,1,0.9063597,"Checking account status (< 0 DM) increased the model's higher-risk output; while Housing (Rent) increased the model's higher-risk output. These are model associations, not causal effects."
GER_XAI_005,1,0.9055074,"Credit duration (months) (36) increased the model's higher-risk output; while Property (Unknown or no property) increased the model's higher-risk output. These are model associations, not causal effects."
GER_XAI_006,1,0.5018516,"Credit duration (months) (48) increased the model's higher-risk output; while Employment duration (4 to < 7 years) reduced the model's higher-risk output. These are model associations, not causal effects."
GER_XAI_007,1,0.5034409,"Credit duration (months) (36) increased the model's higher-risk output; while Savings account status (100 to < 500 DM) reduced the model's higher-risk output. These are model associations, not causal effects."
GER_XAI_008,1,0.5135554,"Other debtors or guarantors (Guarantor) reduced the model's higher-risk output; while Credit duration (months) (15) reduced the model's higher-risk output. These are model associations, not causal effects."
GER_XAI_009,1,0.51524305,"Checking account status (< 0 DM) increased the model's higher-risk output; while Employment duration (4 to < 7 years) reduced the model's higher-risk output. These are model associations, not causal effects."
GER_XAI_010,1,0.5176819,"Credit duration (months) (72) increased the model's higher-risk output; while Checking account status (0 to < 200 DM) increased the model's higher-risk output. These are model associations, not causal effects."
GER_XAI_011,0,0.011951139,"Checking account status (No checking account) reduced the model's higher-risk output; while Credit duration (months) (6) reduced the model's higher-risk output. These are model associations, not causal effects."
GER_XAI_012,0,0.012772601,"Credit duration (months) (4) reduced the model's higher-risk output; while Checking account status (No checking account) reduced the model's higher-risk output. These are model associations, not causal effects."
GER_XAI_013,0,0.014923423,"Credit duration (months) (6) reduced the model's higher-risk output; while Checking account status (No checking account) reduced the model's higher-risk output. These are model associations, not causal effects."
GER_XAI_014,0,0.020744441,"Checking account status (No checking account) reduced the model's higher-risk output; while Credit amount (DM) (3488) reduced the model's higher-risk output. These are model associations, not causal effects."
GER_XAI_015,0,0.024179073,"Checking account status (No checking account) reduced the model's higher-risk output; while Credit purpose (Used car) reduced the model's higher-risk output. These are model associations, not causal effects."
GER_XAI_016,0,0.48432785,"Credit purpose (Used car) reduced the model's higher-risk output; while Credit history (Critical account or other existing credits) reduced the model's higher-risk output. These are model associations, not causal effects."
GER_XAI_017,0,0.48025113,"Checking account status (No checking account) reduced the model's higher-risk output; while Other debtors or guarantors (Co-applicant) increased the model's higher-risk output. These are model associations, not causal effects."
GER_XAI_018,0,0.47793216,"Checking account status (No checking account) reduced the model's higher-risk output; while Employment duration (< 1 year) increased the model's higher-risk output. These are model associations, not causal effects."
GER_XAI_019,0,0.4572692,"Savings account status (Unknown or no savings account) reduced the model's higher-risk output; while Housing (Rent) increased the model's higher-risk output. These are model associations, not causal effects."
GER_XAI_020,0,0.45461446,"Other installment plans (Bank) increased the model's higher-risk output; while Checking account status (No checking account) reduced the model's higher-risk output. These are model associations, not causal effects."
