case_id,predicted_probability,predicted_class,plain_english_explanation
XAI_001,0.871334,1,"The local LIME explanation identified contract type, goods price, employment duration, income type and credit enquiries in previous year as important factors in this local approximation. Contract type increased the local higher-risk prediction; Goods price increased the local higher-risk prediction; Employment duration increased the local higher-risk prediction; Income type increased the local higher-risk prediction; Credit enquiries in previous year reduced the local higher-risk prediction."
XAI_002,0.86179584,1,"The local LIME explanation identified contract type, goods price, employment duration, income type and annuity amount as important factors in this local approximation. Contract type increased the local higher-risk prediction; Goods price increased the local higher-risk prediction; Employment duration increased the local higher-risk prediction; Income type increased the local higher-risk prediction; Annuity amount increased the local higher-risk prediction."
XAI_003,0.8516711,1,"The local LIME explanation identified contract type, goods price, employment duration, income type and credit enquiries in previous year as important factors in this local approximation. Contract type increased the local higher-risk prediction; Goods price increased the local higher-risk prediction; Employment duration increased the local higher-risk prediction; Income type increased the local higher-risk prediction; Credit enquiries in previous year reduced the local higher-risk prediction."
XAI_004,0.845883,1,"The local LIME explanation identified contract type, goods price, employment duration, income type and annuity amount as important factors in this local approximation. Contract type increased the local higher-risk prediction; Goods price increased the local higher-risk prediction; Employment duration increased the local higher-risk prediction; Income type increased the local higher-risk prediction; Annuity amount increased the local higher-risk prediction."
XAI_005,0.84454125,1,"The local LIME explanation identified contract type, goods price, income type, employment duration and annuity amount as important factors in this local approximation. Contract type increased the local higher-risk prediction; Goods price increased the local higher-risk prediction; Income type increased the local higher-risk prediction; Employment duration increased the local higher-risk prediction; Annuity amount increased the local higher-risk prediction."
XAI_006,0.5000003,1,"The local LIME explanation identified contract type, employment duration, goods price, income type and credit-to-annuity ratio as important factors in this local approximation. Contract type increased the local higher-risk prediction; Employment duration reduced the local higher-risk prediction; Goods price increased the local higher-risk prediction; Income type increased the local higher-risk prediction; Credit-to-annuity ratio reduced the local higher-risk prediction."
XAI_007,0.50000775,1,"The local LIME explanation identified contract type, employment duration, income type, credit enquiries in previous quarter and goods price as important factors in this local approximation. Contract type increased the local higher-risk prediction; Employment duration increased the local higher-risk prediction; Income type reduced the local higher-risk prediction; Credit enquiries in previous quarter increased the local higher-risk prediction; Goods price reduced the local higher-risk prediction."
XAI_008,0.50002277,1,"The local LIME explanation identified contract type, goods price, employment duration, annuity amount and income type as important factors in this local approximation. Contract type reduced the local higher-risk prediction; Goods price increased the local higher-risk prediction; Employment duration increased the local higher-risk prediction; Annuity amount reduced the local higher-risk prediction; Income type increased the local higher-risk prediction."
XAI_009,0.5000302,1,"The local LIME explanation identified goods price, contract type, employment duration, requested credit amount and annuity amount as important factors in this local approximation. Goods price reduced the local higher-risk prediction; Contract type increased the local higher-risk prediction; Employment duration increased the local higher-risk prediction; Requested credit amount increased the local higher-risk prediction; Annuity amount increased the local higher-risk prediction."
XAI_010,0.50004005,1,"The local LIME explanation identified goods price, contract type, income type, requested credit amount and annuity amount as important factors in this local approximation. Goods price reduced the local higher-risk prediction; Contract type increased the local higher-risk prediction; Income type increased the local higher-risk prediction; Requested credit amount increased the local higher-risk prediction; Annuity amount increased the local higher-risk prediction."
XAI_011,0.010518629,0,"The local LIME explanation identified goods price, contract type, employment duration, income type and requested credit amount as important factors in this local approximation. Goods price reduced the local higher-risk prediction; Contract type reduced the local higher-risk prediction; Employment duration reduced the local higher-risk prediction; Income type increased the local higher-risk prediction; Requested credit amount increased the local higher-risk prediction."
XAI_012,0.021245534,0,"The local LIME explanation identified goods price, contract type, employment duration, requested credit amount and credit enquiries in previous year as important factors in this local approximation. Goods price reduced the local higher-risk prediction; Contract type reduced the local higher-risk prediction; Employment duration reduced the local higher-risk prediction; Requested credit amount increased the local higher-risk prediction; Credit enquiries in previous year reduced the local higher-risk prediction."
