case_id,counterfactual_id,explanation
GER_XAI_003,GER_XAI_003_CF_001,"The model prediction changes to lower risk if Credit duration (months) changes from 45 to 6, and Credit amount (DM) changes from 1845 to 276. Other application details remain fixed. This is not financial advice or a guarantee of approval."
GER_XAI_004,GER_XAI_004_CF_001,"The model prediction changes to lower risk if Credit duration (months) changes from 18 to 6, and Credit amount (DM) changes from 1216 to 1203. Other application details remain fixed. This is not financial advice or a guarantee of approval."
GER_XAI_005,GER_XAI_005_CF_001,"The model prediction changes to lower risk if Credit duration (months) changes from 36 to 4, and Credit amount (DM) changes from 4795 to 276. Other application details remain fixed. This is not financial advice or a guarantee of approval."
GER_XAI_006,GER_XAI_006_CF_001,"The model prediction changes to lower risk if Credit duration (months) changes from 48 to 30, and Credit amount (DM) changes from 3060 to 3017. Other application details remain fixed. This is not financial advice or a guarantee of approval."
GER_XAI_007,GER_XAI_007_CF_001,The model prediction changes to lower risk if Credit amount (DM) changes from 8086 to 7678. Other application details remain fixed. This is not financial advice or a guarantee of approval.
GER_XAI_008,GER_XAI_008_CF_001,"The model prediction changes to lower risk if Credit duration (months) changes from 15 to 6, and Credit amount (DM) changes from 1845 to 1817. Other application details remain fixed. This is not financial advice or a guarantee of approval."
GER_XAI_009,GER_XAI_009_CF_001,"The model prediction changes to lower risk if Credit duration (months) changes from 18 to 12, and Credit amount (DM) changes from 1936 to 1934. Other application details remain fixed. This is not financial advice or a guarantee of approval."
GER_XAI_010,GER_XAI_010_CF_001,"The model prediction changes to lower risk if Credit duration (months) changes from 72 to 24, and Credit amount (DM) changes from 5595 to 5433. Other application details remain fixed. This is not financial advice or a guarantee of approval."
GER_XAI_016,GER_XAI_016_CF_001,"The model prediction changes to higher risk if Credit duration (months) changes from 42 to 45, and Credit amount (DM) changes from 4796 to 4746. Other application details remain fixed. This is not financial advice or a guarantee of approval."
GER_XAI_017,GER_XAI_017_CF_001,"The model prediction changes to higher risk if Credit duration (months) changes from 10 to 15, and Credit amount (DM) changes from 1287 to 1308. Other application details remain fixed. This is not financial advice or a guarantee of approval."
GER_XAI_019,GER_XAI_019_CF_001,"The model prediction changes to higher risk if Credit duration (months) changes from 12 to 24, and Credit amount (DM) changes from 7472 to 276. Other application details remain fixed. This is not financial advice or a guarantee of approval."
GER_XAI_020,GER_XAI_020_CF_001,"The model prediction changes to higher risk if Credit duration (months) changes from 12 to 18, and Credit amount (DM) changes from 2748 to 2864. Other application details remain fixed. This is not financial advice or a guarantee of approval."
