case_id,counterfactual_id,row_index,source,original_probability,original_class,desired_class,counterfactual_probability,counterfactual_class,valid_counterfactual,permitted_ranges_respected,only_actionable_changed,integer_constraints_respected,unchanged_features_unchanged,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute10,Attribute11,Attribute12,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19
GER_XAI_001,GER_XAI_001_CF_001,11,first_pass,0.9466822,1,0,0.4466598629951477,0,True,True,True,True,True,A11,8,A32,A49,276.0,A61,A72,1,A101,4,A122,A143,A151,1,A173,1,A191
GER_XAI_003,GER_XAI_003_CF_001,998,first_pass,0.90678245,1,0,0.2575888037681579,0,True,True,True,True,True,A11,6,A32,A43,1872.0,A61,A73,4,A101,4,A124,A143,A153,1,A173,1,A192
GER_XAI_004,GER_XAI_004_CF_001,831,first_pass,0.9063597,1,0,0.4095093011856079,0,True,True,True,True,True,A11,4,A32,A40,276.0,A61,A72,4,A101,3,A123,A143,A151,1,A173,1,A192
GER_XAI_005,GER_XAI_005_CF_001,141,first_pass,0.9055074,1,0,0.2843197882175445,0,True,True,True,True,True,A12,4,A32,A43,276.0,A61,A72,1,A101,1,A124,A143,A152,1,A174,1,A192
GER_XAI_006,GER_XAI_006_CF_001,273,first_pass,0.5018516,1,0,0.4138804376125335,0,True,True,True,True,True,A12,30,A32,A43,3017.0,A61,A74,4,A101,4,A121,A143,A152,2,A173,1,A191
GER_XAI_007,GER_XAI_007_CF_001,653,first_pass,0.5034409,1,0,0.4409898519515991,0,True,True,True,True,True,A12,36,A33,A40,7678.0,A62,A75,2,A101,4,A123,A143,A152,4,A174,1,A192
GER_XAI_008,GER_XAI_008_CF_001,944,first_pass,0.5135554,1,0,0.4194393754005432,0,True,True,True,True,True,A11,11,A32,A42,276.0,A61,A72,4,A103,1,A122,A143,A151,1,A173,1,A191
GER_XAI_009,GER_XAI_009_CF_001,992,first_pass,0.51524305,1,0,0.499437004327774,0,True,True,True,True,True,A11,11,A32,A43,276.0,A65,A74,2,A101,4,A123,A143,A151,2,A172,1,A191
GER_XAI_016,GER_XAI_016_CF_001,293,first_pass,0.48432785,0,1,0.6187775135040283,1,True,True,True,True,True,A13,48,A34,A41,4788.0,A61,A75,4,A101,4,A124,A143,A153,1,A173,1,A191
GER_XAI_017,GER_XAI_017_CF_001,297,first_pass,0.48025113,0,1,0.5097728967666626,1,True,True,True,True,True,A14,12,A32,A40,1274.0,A65,A75,4,A102,2,A122,A143,A152,1,A172,1,A191
GER_XAI_018,GER_XAI_018_CF_001,579,first_pass,0.47793216,0,1,0.5138376355171204,1,True,True,True,True,True,A14,36,A32,A48,950.0,A61,A72,4,A101,3,A123,A143,A152,2,A172,1,A191
GER_XAI_019,GER_XAI_019_CF_001,804,first_pass,0.4572692,0,1,0.5282938480377197,1,True,True,True,True,True,A12,12,A32,A40,276.0,A65,A71,3,A101,2,A121,A143,A151,1,A171,1,A191
GER_XAI_020,GER_XAI_020_CF_001,263,first_pass,0.45461446,0,1,0.6405701041221619,1,True,True,True,True,True,A14,45,A34,A46,2631.0,A61,A75,2,A101,4,A124,A141,A153,3,A172,1,A191
