case_id,explanation
HELOC_XAI_001,"Average Duration Of Resolution (25) increased the model's at-risk output; while Net Fraction Of Revolving Burden (98) increased the model's at-risk output. These are model associations, not causal effects."
HELOC_XAI_002,"Average Duration Of Resolution (19) increased the model's at-risk output; while Net Fraction Of Revolving Burden (83) increased the model's at-risk output. These are model associations, not causal effects."
HELOC_XAI_003,"Average Duration Of Resolution (26) increased the model's at-risk output; while Percentage Of Installment Trades (67) increased the model's at-risk output. These are model associations, not causal effects."
HELOC_XAI_004,"Average Duration Of Resolution (15) increased the model's at-risk output; while Net Fraction Of Revolving Burden (100) increased the model's at-risk output. These are model associations, not causal effects."
HELOC_XAI_005,"Average Duration Of Resolution (25) increased the model's at-risk output; while Net Fraction Of Revolving Burden (90) increased the model's at-risk output. These are model associations, not causal effects."
HELOC_XAI_006,"Net Fraction Of Revolving Burden (59) increased the model's at-risk output; while Average Duration Of Resolution (90) reduced the model's at-risk output. These are model associations, not causal effects."
HELOC_XAI_007,"Average Duration Of Resolution (36) increased the model's at-risk output; while Net Fraction Of Revolving Burden (4) reduced the model's at-risk output. These are model associations, not causal effects."
HELOC_XAI_008,"Net Fraction Of Revolving Burden (91) increased the model's at-risk output; while Months Since Last Inquiry Not Recent (3) reduced the model's at-risk output. These are model associations, not causal effects."
HELOC_XAI_009,"Net Fraction Of Revolving Burden (2) reduced the model's at-risk output; while Percentage Of Legal Trades (91) increased the model's at-risk output. These are model associations, not causal effects."
HELOC_XAI_010,"Average Duration Of Resolution (37) increased the model's at-risk output; while Net Fraction Of Revolving Burden (0) reduced the model's at-risk output. These are model associations, not causal effects."
HELOC_XAI_011,"Months Since Last Inquiry Not Recent was recorded with special code -8, which reduced the model's at-risk output; while Net Fraction Of Revolving Burden (1) reduced the model's at-risk output. These are model associations, not causal effects."
HELOC_XAI_012,"Months Since Last Inquiry Not Recent was recorded with special code -8, which reduced the model's at-risk output; while Net Fraction Of Revolving Burden (6) reduced the model's at-risk output. These are model associations, not causal effects."
HELOC_XAI_013,"Months Since Last Inquiry Not Recent was recorded with special code -8, which reduced the model's at-risk output; while Net Fraction Of Revolving Burden (11) reduced the model's at-risk output. These are model associations, not causal effects."
HELOC_XAI_014,"Average Duration Of Resolution (187) reduced the model's at-risk output; while Months Since Last Inquiry Not Recent was recorded with special code -8, which reduced the model's at-risk output. These are model associations, not causal effects."
HELOC_XAI_015,"Net Fraction Of Revolving Burden (4) reduced the model's at-risk output; while Months Since Last Inquiry Not Recent (13) reduced the model's at-risk output. These are model associations, not causal effects."
HELOC_XAI_016,"Average Duration Of Resolution (112) reduced the model's at-risk output; while Maximum Illegal Trades Over Last Year (4) increased the model's at-risk output. These are model associations, not causal effects."
HELOC_XAI_017,"Net Fraction Of Revolving Burden (52) increased the model's at-risk output; while Months Since Last Inquiry Not Recent (1) reduced the model's at-risk output. These are model associations, not causal effects."
HELOC_XAI_018,"Net Fraction Of Revolving Burden (2) reduced the model's at-risk output; while Average Duration Of Resolution (103) reduced the model's at-risk output. These are model associations, not causal effects."
HELOC_XAI_019,"Percentage Of Legal Trades (83) increased the model's at-risk output; while Net Fraction Of Revolving Burden (2) reduced the model's at-risk output. These are model associations, not causal effects."
HELOC_XAI_020,"Average Duration Of Resolution (92) reduced the model's at-risk output; while Months Since Last Inquiry Not Recent (0) increased the model's at-risk output. These are model associations, not causal effects."
