case_id,feature,query_value,eligible_for_case,training_min,training_max,at_boundary,special_state,observed_integer_domain_size,candidate_integer_interval_empty,traceback_location,diagnostic_finding
HELOC_XAI_002,net_fraction_of_revolving_burden,83.0,True,0.0,232.0,False,False,123,False,dice_ml/explainer_interfaces/dice_genetic.py:480-481 random.randrange(top_half),"Valid non-empty training domain. DiCE deduplicates the genetic population to one row, computes top_half=0, then calls random.randrange(0)."
HELOC_XAI_002,net_fraction_of_installment_burden,95.0,True,0.0,196.0,False,False,133,False,dice_ml/explainer_interfaces/dice_genetic.py:480-481 random.randrange(top_half),"Valid non-empty training domain. DiCE deduplicates the genetic population to one row, computes top_half=0, then calls random.randrange(0)."
HELOC_XAI_002,percentage_trades_with_balance,100.0,True,0.0,100.0,True,False,91,False,dice_ml/explainer_interfaces/dice_genetic.py:480-481 random.randrange(top_half),"Valid non-empty training domain. DiCE deduplicates the genetic population to one row, computes top_half=0, then calls random.randrange(0)."
HELOC_XAI_003,net_fraction_of_revolving_burden,61.0,True,0.0,232.0,False,False,123,False,dice_ml/explainer_interfaces/dice_genetic.py:480-481 random.randrange(top_half),"Valid non-empty training domain. DiCE deduplicates the genetic population to one row, computes top_half=0, then calls random.randrange(0)."
HELOC_XAI_003,net_fraction_of_installment_burden,92.0,True,0.0,196.0,False,False,133,False,dice_ml/explainer_interfaces/dice_genetic.py:480-481 random.randrange(top_half),"Valid non-empty training domain. DiCE deduplicates the genetic population to one row, computes top_half=0, then calls random.randrange(0)."
HELOC_XAI_003,percentage_trades_with_balance,100.0,True,0.0,100.0,True,False,91,False,dice_ml/explainer_interfaces/dice_genetic.py:480-481 random.randrange(top_half),"Valid non-empty training domain. DiCE deduplicates the genetic population to one row, computes top_half=0, then calls random.randrange(0)."
HELOC_XAI_004,net_fraction_of_revolving_burden,100.0,True,0.0,232.0,False,False,123,False,dice_ml/explainer_interfaces/dice_genetic.py:480-481 random.randrange(top_half),"Valid non-empty training domain. DiCE deduplicates the genetic population to one row, computes top_half=0, then calls random.randrange(0)."
HELOC_XAI_004,net_fraction_of_installment_burden,78.0,True,0.0,196.0,False,False,133,False,dice_ml/explainer_interfaces/dice_genetic.py:480-481 random.randrange(top_half),"Valid non-empty training domain. DiCE deduplicates the genetic population to one row, computes top_half=0, then calls random.randrange(0)."
HELOC_XAI_004,percentage_trades_with_balance,100.0,True,0.0,100.0,True,False,91,False,dice_ml/explainer_interfaces/dice_genetic.py:480-481 random.randrange(top_half),"Valid non-empty training domain. DiCE deduplicates the genetic population to one row, computes top_half=0, then calls random.randrange(0)."
HELOC_XAI_005,net_fraction_of_revolving_burden,90.0,True,0.0,232.0,False,False,123,False,dice_ml/explainer_interfaces/dice_genetic.py:480-481 random.randrange(top_half),"Valid non-empty training domain. DiCE deduplicates the genetic population to one row, computes top_half=0, then calls random.randrange(0)."
HELOC_XAI_005,net_fraction_of_installment_burden,82.0,True,0.0,196.0,False,False,133,False,dice_ml/explainer_interfaces/dice_genetic.py:480-481 random.randrange(top_half),"Valid non-empty training domain. DiCE deduplicates the genetic population to one row, computes top_half=0, then calls random.randrange(0)."
HELOC_XAI_005,percentage_trades_with_balance,100.0,True,0.0,100.0,True,False,91,False,dice_ml/explainer_interfaces/dice_genetic.py:480-481 random.randrange(top_half),"Valid non-empty training domain. DiCE deduplicates the genetic population to one row, computes top_half=0, then calls random.randrange(0)."
